Question ID,Prompt,Response,Category,Book,Chapter and Verse,Value,Code,Board
76,Your Creator,Who is God?,Old Testament,Genesis,1:1,10,"<div class=""clue jbg"" rel=""#76""><h2 class=""value"">10</h2> </div><div class=""apple_overlay"" id=""76""> <p class=""prompt"">Your Creator</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who is God? (Genesis 1:1)</p></div></div>",1
77,the mother of all living,Who is Eve?,Old Testament,Genesis,3:20,20,"<div class=""clue jbg"" rel=""#77""><h2 class=""value"">20</h2> </div><div class=""apple_overlay"" id=""77""> <p class=""prompt"">the mother of all living</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who is Eve? (Genesis 3:20)</p></div></div>",1
78,This prophet rebuked David for his sin with Bathsheba,Who is Nathan,Old Testament,2 Samuel,12:1,50,"<div class=""clue jbg"" rel=""#78""><h2 class=""value"">50</h2> </div><div class=""apple_overlay"" id=""78""> <p class=""prompt"">This prophet rebuked David for his sin with Bathsheba</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who is Nathan (2 Samuel 12:1)</p></div></div>",1
79,This prophet interpreted a dream about a statue made out of different metals,Who is Daniel,Old Testament,Daniel,2:31,40,"<div class=""clue jbg"" rel=""#79""><h2 class=""value"">40</h2> </div><div class=""apple_overlay"" id=""79""> <p class=""prompt"">This prophet interpreted a dream about a statue made out of different metals</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who is Daniel (Daniel 2:31)</p></div></div>",1
80,"the Son of David and Bathsheba, he became king of Israel after David died, asked God for wisdom, and built the temple",Who is Solomon,Old Testament,1 Kings,,30,"<div class=""clue jbg"" rel=""#80""><h2 class=""value"">30</h2> </div><div class=""apple_overlay"" id=""80""> <p class=""prompt"">the Son of David and Bathsheba, he became king of Israel after David died, asked God for wisdom, and built the temple</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who is Solomon (1 Kings )</p></div></div>",1
81,This prophet led the Israelites during the Exodus,Who is Moses,Old Testament,Exodus,,50,"<div class=""clue jbg"" rel=""#81""><h2 class=""value"">50</h2> </div><div class=""apple_overlay"" id=""81""> <p class=""prompt"">This prophet led the Israelites during the Exodus</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who is Moses (Exodus )</p></div></div>",2
82,This man was a Nazirite known for his God-given strength and dealings with the Philistines,Who is Samson,Old Testament,Judges,15:1-20,100,"<div class=""clue jbg"" rel=""#82""><h2 class=""value"">100</h2> </div><div class=""apple_overlay"" id=""82""> <p class=""prompt"">This man was a Nazirite known for his God-given strength and dealings with the Philistines</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who is Samson (Judges 15:1-20)</p></div></div>",2
83,David used these to kill Goliath,What are a sling and a stone,Old Testament,1 Samuel,17:50,150,"<div class=""clue jbg"" rel=""#83""><h2 class=""value"">150</h2> </div><div class=""apple_overlay"" id=""83""> <p class=""prompt"">David used these to kill Goliath</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What are a sling and a stone (1 Samuel 17:50)</p></div></div>",2
84,David's son who temporarily usurped David's kingship and died while suspended in a tree,Who is Absalom,Old Testament,2 Samuel,18:9-15,200,"<div class=""clue jbg"" rel=""#84""><h2 class=""value"">200</h2> </div><div class=""apple_overlay"" id=""84""> <p class=""prompt"">David's son who temporarily usurped David's kingship and died while suspended in a tree</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who is Absalom (2 Samuel 18:9-15)</p></div></div>",2
85,These 2 priestly sons of Aaron made the fatal mistake of willfully,Who are Nadab and Abihu,Old Testament,Leviticus,10:1-2,250,"<div class=""clue jbg"" rel=""#85""><h2 class=""value"">250</h2> </div><div class=""apple_overlay"" id=""85""> <p class=""prompt"">These 2 priestly sons of Aaron made the fatal mistake of willfully</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who are Nadab and Abihu (Leviticus 10:1-2)</p></div></div>",2
86,this husband and wife didn't sell all their properties to give to the church,Who are Ananias and Sapphira,New Testament,Acts,5:1-10,400,"<div class=""clue jbg"" rel=""#86""><h2 class=""value"">400</h2> </div><div class=""apple_overlay"" id=""86""> <p class=""prompt"">this husband and wife didn't sell all their properties to give to the church</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who are Ananias and Sapphira (Acts 5:1-10)</p></div></div>",3
87,this prophet warned Paul he would be captured if he went to Jerusalem,Who is Agabus,New Testament,Acts,21:10-12,500,"<div class=""clue jbg"" rel=""#87""><h2 class=""value"">500</h2> </div><div class=""apple_overlay"" id=""87""> <p class=""prompt"">this prophet warned Paul he would be captured if he went to Jerusalem</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who is Agabus (Acts 21:10-12)</p></div></div>",3
88,This prophet was called by the Lord as a boy and anointed Saul as Israel's first king,Who is Samuel,Old Testament,I Samuel,10:1-10,100,"<div class=""clue jbg"" rel=""#88""><h2 class=""value"">100</h2> </div><div class=""apple_overlay"" id=""88""> <p class=""prompt"">This prophet was called by the Lord as a boy and anointed Saul as Israel's first king</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who is Samuel (I Samuel 10:1-10)</p></div></div>",3
89,Jonah was inside this for 3 days and 3 nights after trying to flee from God,What is a great fish's stomach,Old Testament,Jonah,1:17,200,"<div class=""clue jbg"" rel=""#89""><h2 class=""value"">200</h2> </div><div class=""apple_overlay"" id=""89""> <p class=""prompt"">Jonah was inside this for 3 days and 3 nights after trying to flee from God</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is a great fish's stomach (Jonah 1:17)</p></div></div>",3
90,This prophet was taken up to heaven in a whirlwind,Who is Elijah,Old Testament,2 Kings,2:1,300,"<div class=""clue jbg"" rel=""#90""><h2 class=""value"">300</h2> </div><div class=""apple_overlay"" id=""90""> <p class=""prompt"">This prophet was taken up to heaven in a whirlwind</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who is Elijah (2 Kings 2:1)</p></div></div>",3
91,List the time(s) the Jordan River was parted and by who,"What is by Joshua, by Elijah, and by Elisha",Old Testament,,,?,"<div class=""clue jbg"" rel=""#91""><h2 class=""value"">?</h2> </div><div class=""apple_overlay"" id=""91""> <p class=""prompt"">List the time(s) the Jordan River was parted and by who</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is by Joshua, by Elijah, and by Elisha ( )</p></div></div>",
92,this violation of God's law separates people from God,What is sin,Vocabulary,Isaiah,59:2,10,"<div class=""clue jbg"" rel=""#92""><h2 class=""value"">10</h2> </div><div class=""apple_overlay"" id=""92""> <p class=""prompt"">this violation of God's law separates people from God</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is sin (Isaiah 59:2)</p></div></div>",1
93,the same as savior; Christ; the one the Jews expected to come and be their king,Who is the Messiah,Vocabulary,John,7:25-28,20,"<div class=""clue jbg"" rel=""#93""><h2 class=""value"">20</h2> </div><div class=""apple_overlay"" id=""93""> <p class=""prompt"">the same as savior; Christ; the one the Jews expected to come and be their king</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who is the Messiah (John 7:25-28)</p></div></div>",1
94,to be controlled unfairly and cruelly by the use of another's power,What is oppression,Vocabulary,,,30,"<div class=""clue jbg"" rel=""#94""><h2 class=""value"">30</h2> </div><div class=""apple_overlay"" id=""94""> <p class=""prompt"">to be controlled unfairly and cruelly by the use of another's power</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is oppression ( )</p></div></div>",1
95,This child is guaranteed the most inheritance in the family,Who is firstborn,Vocabulary,,,40,"<div class=""clue jbg"" rel=""#95""><h2 class=""value"">40</h2> </div><div class=""apple_overlay"" id=""95""> <p class=""prompt"">This child is guaranteed the most inheritance in the family</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who is firstborn ( )</p></div></div>",1
96,a count of the population of a group of people,What is a census,Vocabulary,,,50,"<div class=""clue jbg"" rel=""#96""><h2 class=""value"">50</h2> </div><div class=""apple_overlay"" id=""96""> <p class=""prompt"">a count of the population of a group of people</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is a census ( )</p></div></div>",1
97,the 7th day of the week; the Jewish day of rest and worship. It extended from Friday sunset until Saturday sunset.,What is the Sabbath,Vocabulary,,,50,"<div class=""clue jbg"" rel=""#97""><h2 class=""value"">50</h2> </div><div class=""apple_overlay"" id=""97""> <p class=""prompt"">the 7th day of the week; the Jewish day of rest and worship. It extended from Friday sunset until Saturday sunset.</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is the Sabbath ( )</p></div></div>",2
98,"the Father, the Son, and the Holy Ghost are this together",What is the Trinity,Vocabulary,Matthew,28:19,100,"<div class=""clue jbg"" rel=""#98""><h2 class=""value"">100</h2> </div><div class=""apple_overlay"" id=""98""> <p class=""prompt"">the Father, the Son, and the Holy Ghost are this together</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is the Trinity (Matthew 28:19)</p></div></div>",2
99,the Jewish place of worship and religious teaching,Where is the synagogue,Vocabulary,,,150,"<div class=""clue jbg"" rel=""#99""><h2 class=""value"">150</h2> </div><div class=""apple_overlay"" id=""99""> <p class=""prompt"">the Jewish place of worship and religious teaching</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is the synagogue ( )</p></div></div>",2
100,unusual happenings that go against the normal laws of nature,What are miracles,Vocabulary,,,200,"<div class=""clue jbg"" rel=""#100""><h2 class=""value"">200</h2> </div><div class=""apple_overlay"" id=""100""> <p class=""prompt"">unusual happenings that go against the normal laws of nature</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What are miracles ( )</p></div></div>",2
101,an order or law given by someone with power and authority,What is a decree,Vocabulary,,,250,"<div class=""clue jbg"" rel=""#101""><h2 class=""value"">250</h2> </div><div class=""apple_overlay"" id=""101""> <p class=""prompt"">an order or law given by someone with power and authority</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is a decree ( )</p></div></div>",2
102,"This psalm begins with ""the Lord is my shepherd""",What is Psalm 23,Old Testament,Psalm,23:1,400,"<div class=""clue jbg"" rel=""#102""><h2 class=""value"">400</h2> </div><div class=""apple_overlay"" id=""102""> <p class=""prompt"">This psalm begins with ""the Lord is my shepherd""</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is Psalm 23 (Psalm 23:1)</p></div></div>",3
103,"The Israelites worshipped this idol, crafted by Aaron, while Moses was away",What is the Golden Calf,Old Testament,Exodus,32:1-35,500,"<div class=""clue jbg"" rel=""#103""><h2 class=""value"">500</h2> </div><div class=""apple_overlay"" id=""103""> <p class=""prompt"">The Israelites worshipped this idol, crafted by Aaron, while Moses was away</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is the Golden Calf (Exodus 32:1-35)</p></div></div>",3
104,"a person who receives messages from God to tell his people, called by God to speak for him",What is a prophet?,Vocabulary,,,100,"<div class=""clue jbg"" rel=""#104""><h2 class=""value"">100</h2> </div><div class=""apple_overlay"" id=""104""> <p class=""prompt"">a person who receives messages from God to tell his people, called by God to speak for him</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is a prophet? ( )</p></div></div>",3
105,"to pour oil on a person's head, either for a physical benefit or in order to set apart someone for service to God",what is to anoint,Vocabulary,,,200,"<div class=""clue jbg"" rel=""#105""><h2 class=""value"">200</h2> </div><div class=""apple_overlay"" id=""105""> <p class=""prompt"">to pour oil on a person's head, either for a physical benefit or in order to set apart someone for service to God</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">what is to anoint ( )</p></div></div>",3
106,God's forgiveness provides this to all people,What is salvation?,Vocabulary,Genesis,49:18,300,"<div class=""clue jbg"" rel=""#106""><h2 class=""value"">300</h2> </div><div class=""apple_overlay"" id=""106""> <p class=""prompt"">God's forgiveness provides this to all people</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is salvation? (Genesis 49:18)</p></div></div>",3
107,the intimate and personal name of God; it emphasizes his role as Israel's Redeemer and master,What is the Lord,Vocabulary,,,10,"<div class=""clue jbg"" rel=""#107""><h2 class=""value"">10</h2> </div><div class=""apple_overlay"" id=""107""> <p class=""prompt"">the intimate and personal name of God; it emphasizes his role as Israel's Redeemer and master</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is the Lord ( )</p></div></div>",
108,ruler over a country or kingdom,Who is a king,Vocabulary,,,10,"<div class=""clue jbg"" rel=""#108""><h2 class=""value"">10</h2> </div><div class=""apple_overlay"" id=""108""> <p class=""prompt"">ruler over a country or kingdom</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who is a king ( )</p></div></div>",
109,someone who takes care of a flock of sheep. This word is often used in the Bible as a figure of speech for anyone who cares for a group of people.,Who is a shepherd,Vocabulary,,,10,"<div class=""clue jbg"" rel=""#109""><h2 class=""value"">10</h2> </div><div class=""apple_overlay"" id=""109""> <p class=""prompt"">someone who takes care of a flock of sheep. This word is often used in the Bible as a figure of speech for anyone who cares for a group of people.</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who is a shepherd ( )</p></div></div>",
110,a book made of a long piece of leather or paper that was rolled around a stick at both ends,what is a scroll,Vocabulary,,,20,"<div class=""clue jbg"" rel=""#110""><h2 class=""value"">20</h2> </div><div class=""apple_overlay"" id=""110""> <p class=""prompt"">a book made of a long piece of leather or paper that was rolled around a stick at both ends</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">what is a scroll ( )</p></div></div>",
111,the part of a person that is not the body,What is a spirit,Vocabulary,,,20,"<div class=""clue jbg"" rel=""#111""><h2 class=""value"">20</h2> </div><div class=""apple_overlay"" id=""111""> <p class=""prompt"">the part of a person that is not the body</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is a spirit ( )</p></div></div>",
112,goodwill; a positive attitude toward another person,What is favor,Vocabulary,,,20,"<div class=""clue jbg"" rel=""#112""><h2 class=""value"">20</h2> </div><div class=""apple_overlay"" id=""112""> <p class=""prompt"">goodwill; a positive attitude toward another person</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is favor ( )</p></div></div>",
113,telling the message of the gospel in public; delivering a sermon,What is preaching,Vocabulary,,,20,"<div class=""clue jbg"" rel=""#113""><h2 class=""value"">20</h2> </div><div class=""apple_overlay"" id=""113""> <p class=""prompt"">telling the message of the gospel in public; delivering a sermon</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is preaching ( )</p></div></div>",
114,a binding promise or agreement,What is a pledge,Vocabulary,,,20,"<div class=""clue jbg"" rel=""#114""><h2 class=""value"">20</h2> </div><div class=""apple_overlay"" id=""114""> <p class=""prompt"">a binding promise or agreement</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is a pledge ( )</p></div></div>",
115,honor; praise; a source of pride or worthiness,What is glory,Vocabulary,,,20,"<div class=""clue jbg"" rel=""#115""><h2 class=""value"">20</h2> </div><div class=""apple_overlay"" id=""115""> <p class=""prompt"">honor; praise; a source of pride or worthiness</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is glory ( )</p></div></div>",
116,firm belief or faith in another,What is trust,Vocabulary,,,20,"<div class=""clue jbg"" rel=""#116""><h2 class=""value"">20</h2> </div><div class=""apple_overlay"" id=""116""> <p class=""prompt"">firm belief or faith in another</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is trust ( )</p></div></div>",
117,a wise saying,What is a proverb,Vocabulary,,,30,"<div class=""clue jbg"" rel=""#117""><h2 class=""value"">30</h2> </div><div class=""apple_overlay"" id=""117""> <p class=""prompt"">a wise saying</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is a proverb ( )</p></div></div>",
118,"one who cares after your physical well-being, typicall experienced in medicine. Luke was this.",What is a physician,Vocabulary,,,30,"<div class=""clue jbg"" rel=""#118""><h2 class=""value"">30</h2> </div><div class=""apple_overlay"" id=""118""> <p class=""prompt"">one who cares after your physical well-being, typicall experienced in medicine. Luke was this.</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is a physician ( )</p></div></div>",
119,a time when there is not enough food or any severe shortage,What is a famine,Vocabulary,,,30,"<div class=""clue jbg"" rel=""#119""><h2 class=""value"">30</h2> </div><div class=""apple_overlay"" id=""119""> <p class=""prompt"">a time when there is not enough food or any severe shortage</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is a famine ( )</p></div></div>",
120,evil spirit,What is a demon,Vocabulary,,,30,"<div class=""clue jbg"" rel=""#120""><h2 class=""value"">30</h2> </div><div class=""apple_overlay"" id=""120""> <p class=""prompt"">evil spirit</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is a demon ( )</p></div></div>",
121,,What is solitary,Vocabulary,,,,"<div class=""clue jbg"" rel=""#121""><h2 class=""value""></h2> </div><div class=""apple_overlay"" id=""121""> <p class=""prompt""></p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is solitary ( )</p></div></div>",
122,,What is possesed,Vocabulary,,,,"<div class=""clue jbg"" rel=""#122""><h2 class=""value""></h2> </div><div class=""apple_overlay"" id=""122""> <p class=""prompt""></p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is possesed ( )</p></div></div>",
123,,What is a stable,Vocabulary,,,,"<div class=""clue jbg"" rel=""#123""><h2 class=""value""></h2> </div><div class=""apple_overlay"" id=""123""> <p class=""prompt""></p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is a stable ( )</p></div></div>",
124,,,,,,,"<div class=""clue jbg"" rel=""#124""><h2 class=""value""></h2> </div><div class=""apple_overlay"" id=""124""> <p class=""prompt""></p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response""> ( )</p></div></div>",
125,,,,,,,"<div class=""clue jbg"" rel=""#125""><h2 class=""value""></h2> </div><div class=""apple_overlay"" id=""125""> <p class=""prompt""></p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response""> ( )</p></div></div>",
126,,,,,,,"<div class=""clue jbg"" rel=""#126""><h2 class=""value""></h2> </div><div class=""apple_overlay"" id=""126""> <p class=""prompt""></p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response""> ( )</p></div></div>",
,,,,,,,"<div class=""clue jbg"" rel=""#""><h2 class=""value""></h2> </div><div class=""apple_overlay"" id=""""> <p class=""prompt""></p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response""> ( )</p></div></div>",
128,Jesus was called this singular name by the demon in the Capernaum synagogue,Who is the Holy One of God,Vocabulary,Luke,4:34,400,"<div class=""clue jbg"" rel=""#128""><h2 class=""value"">400</h2> </div><div class=""apple_overlay"" id=""128""> <p class=""prompt"">Jesus was called this singular name by the demon in the Capernaum synagogue</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who is the Holy One of God (Luke 4:34)</p></div></div>",3
129,Drink from this and you will have eternal life,What is Living Water,Vocabulary,John,4:10,500,"<div class=""clue jbg"" rel=""#129""><h2 class=""value"">500</h2> </div><div class=""apple_overlay"" id=""129""> <p class=""prompt"">Drink from this and you will have eternal life</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is Living Water (John 4:10)</p></div></div>",3
